	Ecoli	Listeria	Shigellia
OG0001387	sp|P75726|CILA_ECOLI		tr|F5NRU8|F5NRU8_SHIFL
OG0001388	sp|P0A6G5|CITX_ECOLI		tr|F5NRU7|F5NRU7_SHIFL
OG0001389	sp|P36566|CMOM_ECOLI		tr|F5NSQ4|F5NSQ4_SHIFL
OG0001390	sp|P77808|CINAL_ECOLI		tr|F5NXJ8|F5NXJ8_SHIFL
OG0001391	sp|P69330|CITD_ECOLI		tr|F5NRV0|F5NRV0_SHIFL
OG0001392	sp|P37019|CLCA_ECOLI		tr|F5NPM5|F5NPM5_SHIFL
OG0001393	sp|P0AA84|CLSB_ECOLI		tr|F5NS61|F5NS61_SHIFL
OG0001394	sp|P0AEW4|CPDA_ECOLI		tr|F5NZF1|F5NZF1_SHIFL
OG0001395	sp|P08331|CPDB_ECOLI		tr|F5P3F0|F5P3F0_SHIFL
OG0001396	sp|P0AA82|CODB_ECOLI	tr|Q8Y9R7|Q8Y9R7_LISMO	
OG0001397	sp|P0ABI4|CORA_ECOLI		tr|F5P1I8|F5P1I8_SHIFL
OG0001398	sp|P08368|CREB_ECOLI		tr|F5P4C3|F5P4C3_SHIFL
OG0001399	sp|P08401|CREC_ECOLI		tr|F5P4C4|F5P4C4_SHIFL
OG0001400	sp|P08369|CRED_ECOLI		tr|F5P4C6|F5P4C6_SHIFL
OG0001401	sp|P46891|COF_ECOLI		tr|F5NRF5|F5NRF5_SHIFL
OG0001402	sp|P75952|COMR_ECOLI		tr|F5NT15|F5NT15_SHIFL
OG0001403	sp|Q46824|CPTA_ECOLI		tr|F5NZT0|F5NZT0_SHIFL
OG0001404	sp|P0ACP1|CRA_ECOLI		tr|F5NQ04|F5NQ04_SHIFL
OG0001405	sp|P36562|COBT_ECOLI		tr|F5NWA8|F5NWA8_SHIFL
OG0001406	sp|P0AE95|CSGE_ECOLI		tr|F5NR00|F5NR00_SHIFL
OG0001407	sp|P0AEA2|CSGG_ECOLI		tr|F5NR05|F5NR05_SHIFL
OG0001408	sp|P52107|CSGC_ECOLI		tr|F5NQZ3|F5NQZ3_SHIFL
OG0001409	sp|P37338|CSIR_ECOLI		tr|F5NYZ1|F5NYZ1_SHIFL
OG0001410	sp|P64559|CPTB_ECOLI		tr|F5NZT1|F5NZT1_SHIFL
OG0001411	sp|P0AE82|CPXA_ECOLI		tr|F5P156|F5P156_SHIFL
OG0001412	sp|P0AE91|CREA_ECOLI		tr|F5P4C2|F5P4C2_SHIFL
OG0001413	sp|P69913|CSRA_ECOLI		tr|F5NYW5|F5NYW5_SHIFL
OG0001414	sp|P38054|CUSA_ECOLI		tr|F5NRR8|F5NRR8_SHIFL
OG0001415	sp|P77239|CUSB_ECOLI		tr|F5NRR7|F5NRR7_SHIFL
OG0001416	sp|P0ACZ8|CUSR_ECOLI	tr|Q8Y858|Q8Y858_LISMO	
OG0001417	sp|P56100|CYDX_ECOLI		tr|F5NQR8|F5NQR8_SHIFL
OG0001418	sp|P27838|CYAY_ECOLI		tr|F5P1K2|F5P1K2_SHIFL
OG0001419	sp|P0ACN7|CYTR_ECOLI		tr|F5P132|F5P132_SHIFL
OG0001420	sp|P45955|CPOB_ECOLI		tr|F5NQR0|F5NQR0_SHIFL
OG0001421	sp|P0AE85|CPXP_ECOLI		tr|F5P154|F5P154_SHIFL
OG0001422	sp|Q46925|CSDA_ECOLI		tr|F5NZ51|F5NZ51_SHIFL
OG0001423	sp|P28307|CSGA_ECOLI		tr|F5NQZ4|F5NQZ4_SHIFL
OG0001424	sp|P13518|CSRD_ECOLI		tr|F5P0F1|F5P0F1_SHIFL
OG0001425	sp|P08550|CVPA_ECOLI		tr|F5NXR4|F5NXR4_SHIFL
OG0001426	sp|P0AGF2|CSDE_ECOLI		tr|F5NZ52|F5NZ52_SHIFL
OG0001427	sp|P0ABK7|CSGB_ECOLI		tr|F5NQZ8|F5NQZ8_SHIFL
OG0001428	sp|P0AE98|CSGF_ECOLI		tr|F5NR03|F5NR03_SHIFL
OG0001429	sp|P00936|CYAA_ECOLI		tr|F5P1K3|F5P1K3_SHIFL
OG0001430	sp|P16676|CYSA_ECOLI		tr|F5NY94|F5NY94_SHIFL
OG0001431	sp|P0AAM1|CYBH_ECOLI		tr|F5NSV9|F5NSV9_SHIFL
OG0001432	sp|P16703|CYSM_ECOLI		tr|F5NY93|F5NY93_SHIFL
OG0001433	sp|P0DM85|CRFC_ECOLI		tr|F5P3T3|F5P3T3_SHIFL
OG0001434	sp|P69488|CUTA_ECOLI		tr|F5P0M1|F5P0M1_SHIFL
OG0001435	sp|P0A9F3|CYSB_ECOLI		tr|F5NTM6|F5NTM6_SHIFL
OG0001436	sp|P0A6J1|CYSC_ECOLI		tr|F5NYP2|F5NYP2_SHIFL
OG0001437	sp|P21156|CYSD_ECOLI		tr|F5NYP0|F5NYP0_SHIFL
OG0001438	sp|P24251|CRL_ECOLI		tr|F5NQ96|F5NQ96_SHIFL
OG0001439	sp|P36649|CUEO_ECOLI		tr|F5NPJ2|F5NPJ2_SHIFL
OG0001440	sp|P23845|CYSN_ECOLI		tr|F5NYP1|F5NYP1_SHIFL
OG0001441	sp|P16701|CYST_ECOLI		tr|F5NY96|F5NY96_SHIFL
OG0001442	sp|P0A6J3|CYSZ_ECOLI		tr|F5NY84|F5NY84_SHIFL
OG0001443	sp|P76113|CURA_ECOLI		tr|F5NVF1|F5NVF1_SHIFL
OG0001444	sp|P52106|CSGD_ECOLI		tr|F5NQZ9|F5NQZ9_SHIFL
OG0001445	sp|P54901|CSIE_ECOLI		tr|F5NY40|F5NY40_SHIFL
OG0001446	sp|P17854|CYSH_ECOLI		tr|F5NYN7|F5NYN7_SHIFL
OG0001447	sp|P38038|CYSJ_ECOLI		tr|F5NYN5|F5NYN5_SHIFL
OG0001448	sp|P16700|CYSP_ECOLI		tr|F5NY97|F5NY97_SHIFL
OG0001449	sp|P22255|CYSQ_ECOLI		tr|F5P3E9|F5P3E9_SHIFL
OG0001450	sp|P0AEB0|CYSW_ECOLI		tr|F5NY95|F5NY95_SHIFL
OG0001451	sp|P0AD01|DCUR_ECOLI		tr|F5P0K9|F5P0K9_SHIFL
OG0001452	sp|P17846|CYSI_ECOLI		tr|F5NYN6|F5NYN6_SHIFL
OG0001453	sp|P69054|DHSC_ECOLI		tr|F5NQT8|F5NQT8_SHIFL
OG0001454	sp|P23840|DIND_ECOLI		tr|F5P282|F5P282_SHIFL
OG0001455	sp|P24228|DACB_ECOLI		tr|F5P085|F5P085_SHIFL
OG0001456	sp|P0AEE1|DCRB_ECOLI		tr|F5P2W0|F5P2W0_SHIFL
OG0001457	sp|P0AEC8|DCUS_ECOLI		tr|F5P0L0|F5P0L0_SHIFL
OG0001458	sp|P0ACK5|DEOR_ECOLI		tr|F5NSM0|F5NSM0_SHIFL
OG0001459	sp|P11557|DAMX_ECOLI		tr|F5P347|F5P347_SHIFL
OG0001460	sp|P37195|DCTR_ECOLI		tr|F5P2P7|F5P2P7_SHIFL
OG0001461	sp|P0ABN5|DCUA_ECOLI		tr|F5P0M2|F5P0M2_SHIFL
OG0001462	sp|P0ABN9|DCUB_ECOLI		tr|F5P0K8|F5P0K8_SHIFL
OG0001463	sp|P0ABP3|DCUC_ECOLI		tr|F5NRW2|F5NRW2_SHIFL
OG0001464	sp|P76316|DCYD_ECOLI		tr|F5NVX9|F5NVX9_SHIFL
OG0001465	sp|P76014|DHAL_ECOLI	tr|Q8Y3Y3|Q8Y3Y3_LISMO	
OG0001466	sp|P77622|DDPF_ECOLI		tr|F5NVC3|F5NVC3_SHIFL
OG0001467	sp|P15877|DHG_ECOLI		tr|F5NPJ6|F5NPJ6_SHIFL
OG0001468	sp|P0ABS1|DKSA_ECOLI		tr|F5NPL4|F5NPL4_SHIFL
OG0001469	sp|P45428|DCUD_ECOLI		tr|F5P0C6|F5P0C6_SHIFL
OG0001470	sp|P0A9Q9|DHAS_ECOLI		tr|F5P2Z7|F5P2Z7_SHIFL
OG0001471	sp|P31680|DJLA_ECOLI		tr|F5NPX5|F5NPX5_SHIFL
OG0001472	sp|P30863|DKGB_ECOLI		tr|F5NQ51|F5NQ51_SHIFL
OG0001473	sp|P0A830|DCTA_ECOLI		tr|F5P2J3|F5P2J3_SHIFL
OG0001474	sp|P0AEE3|DEGS_ECOLI		tr|F5P0D4|F5P0D4_SHIFL
OG0001475	sp|P0AC44|DHSD_ECOLI		tr|F5NQT6|F5NQT6_SHIFL
OG0001476	sp|P03007|DPO3E_ECOLI		tr|F5NQ61|F5NQ61_SHIFL
OG0001477	sp|P0AEF8|DPPB_ECOLI		tr|F5P2L4|F5P2L4_SHIFL
OG0001478	sp|P33371|DUSC_ECOLI		tr|F5NX65|F5NX65_SHIFL
OG0001479	sp|P21189|DPO2_ECOLI		tr|F5NPX9|F5NPX9_SHIFL
OG0001480	sp|P0AEG1|DPPC_ECOLI		tr|F5P2L3|F5P2L3_SHIFL
OG0001481	sp|P0AAG0|DPPD_ECOLI		tr|F5P2L2|F5P2L2_SHIFL
OG0001482	sp|P66817|DIAA_ECOLI		tr|F5P049|F5P049_SHIFL
OG0001483	sp|P37672|DLGD_ECOLI		tr|F5P2F6|F5P2F6_SHIFL
OG0001484	sp|P69853|DMSD_ECOLI		tr|F5NV68|F5NV68_SHIFL
OG0001485	sp|P23847|DPPA_ECOLI		tr|F5P2L6|F5P2L6_SHIFL
OG0001486	sp|P37313|DPPF_ECOLI		tr|F5P2L1|F5P2L1_SHIFL
OG0001487	sp|P0AEG6|DSBC_ECOLI		tr|F5NZS7|F5NZS7_SHIFL
OG0001488	sp|P77202|DSBG_ECOLI		tr|F5NRT5|F5NRT5_SHIFL
OG0001489	sp|P28248|DCD_ECOLI		tr|F5NWS1|F5NWS1_SHIFL
OG0001490	sp|P77790|DDPX_ECOLI		tr|F5NVC0|F5NVC0_SHIFL
OG0001491	sp|P31459|DGOK_ECOLI		tr|F5P1T9|F5P1T9_SHIFL
OG0001492	sp|A5A624|DINQ_ECOLI		tr|F5P2Q6|F5P2Q6_SHIFL
OG0001493	sp|P28303|DINF_ECOLI		tr|F5P0P8|F5P0P8_SHIFL
OG0001494	sp|P27296|DING_ECOLI		tr|F5NS73|F5NS73_SHIFL
OG0001495	sp|P06149|DLD_ECOLI		tr|F5NX56|F5NX56_SHIFL
OG0001496	sp|P0A8J2|DNAT_ECOLI		tr|F5P484|F5P484_SHIFL
OG0001497	sp|P0AA89|DOSC_ECOLI		tr|F5NVB8|F5NVB8_SHIFL
OG0001498	sp|P07862|DDLB_ECOLI		tr|F5NQ20|F5NQ20_SHIFL
OG0001499	sp|P76015|DHAK_ECOLI	tr|Q8Y3Y4|Q8Y3Y4_LISMO	
OG0001500	sp|P0ABR1|DINI_ECOLI		tr|F5NT88|F5NT88_SHIFL
OG0001501	sp|P56262|DLHH_ECOLI		tr|F5P1H4|F5P1H4_SHIFL
OG0001502	sp|P0AED9|DCM_ECOLI		tr|F5NW31|F5NW31_SHIFL
OG0001503	sp|P0ACJ5|DECR_ECOLI		tr|F5NRF7|F5NRF7_SHIFL
OG0001504	sp|P09549|DEDD_ECOLI		tr|F5NXR5|F5NXR5_SHIFL
OG0001505	sp|Q6BF17|DGOD_ECOLI		tr|F5P1T7|F5P1T7_SHIFL
OG0001506	sp|P31460|DGOR_ECOLI		tr|F5P1U0|F5P1U0_SHIFL
OG0001507	sp|P18956|GGT_ECOLI		tr|F5P2Y8|F5P2Y8_SHIFL
OG0001508	sp|P52073|GLCE_ECOLI		tr|F5NZ94|F5NZ94_SHIFL
OG0001509	sp|P0AEN4|FTSL_ECOLI		tr|F5NQ11|F5NQ11_SHIFL
OG0001510	sp|P26648|FTSP_ECOLI		tr|F5NZD8|F5NZD8_SHIFL
OG0001511	sp|P06136|FTSQ_ECOLI		tr|F5NQ21|F5NQ21_SHIFL
OG0001512	sp|P25748|GALS_ECOLI		tr|F5NX77|F5NX77_SHIFL
OG0001513	sp|P0AEQ1|GLCG_ECOLI		tr|F5NZ92|F5NZ92_SHIFL
OG0001514	sp|P0A998|FTNA_ECOLI		tr|F5NVW7|F5NVW7_SHIFL
OG0001515	sp|P0A6S5|FTSB_ECOLI		tr|F5NYP4|F5NYP4_SHIFL
OG0001516	sp|P69922|FUCI_ECOLI		tr|F5NZ40|F5NZ40_SHIFL
OG0001517	sp|P11553|FUCK_ECOLI		tr|F5NZ42|F5NZ42_SHIFL
OG0001518	sp|P11551|FUCP_ECOLI		tr|F5NZ38|F5NZ38_SHIFL
OG0001519	sp|P63204|GADE_ECOLI		tr|F5P2P1|F5P2P1_SHIFL
OG0001520	sp|P75883|GFCC_ECOLI		tr|F5NRD0|F5NRD0_SHIFL
OG0001521	sp|P0A8Q0|FRDC_ECOLI		tr|F5P3L1|F5P3L1_SHIFL
OG0001522	sp|P03024|GALR_ECOLI		tr|F5NZ76|F5NZ76_SHIFL
OG0001523	sp|P23522|GARL_ECOLI		tr|F5P033|F5P033_SHIFL
OG0001524	sp|P0AEM0|FKBX_ECOLI		tr|F5NPU5|F5NPU5_SHIFL
OG0001525	sp|P0ABY2|FLIT_ECOLI		tr|F5NVY6|F5NVY6_SHIFL
OG0001526	sp|P0AAP3|FRMR_ECOLI	tr|Q8Y646|Q8Y646_LISMO	
OG0001527	sp|P04335|FRSA_ECOLI		tr|F5NQ95|F5NQ95_SHIFL
OG0001528	sp|P0ACK8|FUCR_ECOLI		tr|F5NZ45|F5NZ45_SHIFL
OG0001529	sp|P0ABQ2|GARR_ECOLI		tr|F5P031|F5P031_SHIFL
OG0001530	sp|P28905|HOLC_ECOLI		tr|F5P3Z3|F5P3Z3_SHIFL
OG0001531	sp|P32131|HEMN_ECOLI		tr|F5P1E0|F5P1E0_SHIFL
OG0001532	sp|P52094|HISQ_ECOLI		tr|F5NXQ9|F5NXQ9_SHIFL
OG0001533	sp|P45753|HOFM_ECOLI		tr|F5P340|F5P340_SHIFL
OG0001534	sp|P28630|HOLA_ECOLI		tr|F5NRY0|F5NRY0_SHIFL
OG0001535	sp|P28632|HOLD_ECOLI		tr|F5P494|F5P494_SHIFL
OG0001536	sp|P77423|HYFH_ECOLI		tr|F5NXY2|F5NXY2_SHIFL
OG0001537	sp|P37595|IAAA_ECOLI		tr|F5NSA7|F5NSA7_SHIFL
OG0001538	sp|P39377|IADA_ECOLI		tr|F5P407|F5P407_SHIFL
OG0001539	sp|P10423|IAP_ECOLI		tr|F5NYN9|F5NYN9_SHIFL
OG0001540	sp|P16528|ICLR_ECOLI		tr|F5P0T9|F5P0T9_SHIFL
OG0001541	sp|P24232|HMP_ECOLI		tr|F5NY50|F5NY50_SHIFL
OG0001542	sp|P34749|HOFQ_ECOLI		tr|F5P344|F5P344_SHIFL
OG0001543	sp|P37024|HRPB_ECOLI		tr|F5NPL7|F5NPL7_SHIFL
OG0001544	sp|P19932|HYAF_ECOLI		tr|F5NSW2|F5NSW2_SHIFL
OG0001545	sp|P0C054|IBPA_ECOLI		tr|F5P1T1|F5P1T1_SHIFL
OG0001546	sp|P45751|HOFO_ECOLI		tr|F5P342|F5P342_SHIFL
OG0001547	sp|P37305|HOKA_ECOLI		tr|F5P2N0|F5P2N0_SHIFL
OG0001548	sp|P25666|HTRL_ECOLI		tr|F5P2C3|F5P2C3_SHIFL
OG0001549	sp|P0AEV7|HYCH_ECOLI		tr|F5NYT5|F5NYT5_SHIFL
OG0001550	sp|P77416|HYFD_ECOLI		tr|F5NXX7|F5NXX7_SHIFL
OG0001551	sp|P77437|HYFF_ECOLI		tr|F5NXX9|F5NXX9_SHIFL
OG0001552	sp|P0A700|HYPA_ECOLI		tr|F5NYS6|F5NYS6_SHIFL
OG0001553	sp|P0A9W6|IBAG_ECOLI		tr|F5P094|F5P094_SHIFL
OG0001554	sp|P0ACF8|HNS_ECOLI		tr|F5NTI2|F5NTI2_SHIFL
OG0001555	sp|P0ACG4|HOKC_ECOLI		tr|F5NPT6|F5NPT6_SHIFL
OG0001556	sp|P0A6Z1|HSCA_ECOLI		tr|F5NY31|F5NY31_SHIFL
OG0001557	sp|P64634|HOFN_ECOLI		tr|F5P341|F5P341_SHIFL
OG0001558	sp|P45750|HOFP_ECOLI		tr|F5P343|F5P343_SHIFL
OG0001559	sp|P0ABS8|HOLE_ECOLI		tr|F5NVH1|F5NVH1_SHIFL
OG0001560	sp|P43329|HRPA_ECOLI		tr|F5NU11|F5NU11_SHIFL
OG0001561	sp|P77319|HSCC_ECOLI		tr|F5NRZ3|F5NRZ3_SHIFL
OG0001562	sp|P52644|HSLJ_ECOLI		tr|F5NU02|F5NU02_SHIFL
OG0001563	sp|P19931|HYAE_ECOLI		tr|F5NSW1|F5NSW1_SHIFL
OG0001564	sp|P0AAJ8|HYBA_ECOLI		tr|F5NZB6|F5NZB6_SHIFL
OG0001565	sp|P37182|HYBD_ECOLI		tr|F5NZB3|F5NZB3_SHIFL
OG0001566	sp|P16432|HYCF_ECOLI		tr|F5NYT2|F5NYT2_SHIFL
OG0001567	sp|P0AEV9|HYCI_ECOLI		tr|F5NYT6|F5NYT6_SHIFL
OG0001568	sp|P25746|HFLD_ECOLI		tr|F5NT60|F5NT60_SHIFL
OG0001569	sp|P67910|HLDD_ECOLI		tr|F5P2C2|F5P2C2_SHIFL
OG0001570	sp|P0AEU3|HISM_ECOLI		tr|F5NXQ8|F5NXQ8_SHIFL
OG0001571	sp|P0A6L9|HSCB_ECOLI		tr|F5NY32|F5NY32_SHIFL
OG0001572	sp|P0AEX7|LIVH_ECOLI		tr|F5P2X7|F5P2X7_SHIFL
OG0001573	sp|P75958|LOLE_ECOLI		tr|F5NT24|F5NT24_SHIFL
OG0001574	sp|Q47153|LFHA_ECOLI		tr|F5NQ85|F5NQ85_SHIFL
OG0001575	sp|P39398|LGOT_ECOLI		tr|F5P478|F5P478_SHIFL
OG0001576	sp|P60720|LIPB_ECOLI		tr|F5NRX0|F5NRX0_SHIFL
OG0001577	sp|P0A8P1|LFTR_ECOLI		tr|F5NSD7|F5NSD7_SHIFL
OG0001578	sp|P39380|KPTA_ECOLI		tr|F5P404|F5P404_SHIFL
OG0001579	sp|P0ACV4|LAPA_ECOLI		tr|F5NTN2|F5NTN2_SHIFL
OG0001580	sp|P0AEX5|KPPR_ECOLI		tr|F5P383|F5P383_SHIFL
OG0001581	sp|P63183|KUP_ECOLI		tr|F5P206|F5P206_SHIFL
OG0001582	sp|P02943|LAMB_ECOLI		tr|F5P0Q8|F5P0Q8_SHIFL
OG0001583	sp|P0AB58|LAPB_ECOLI		tr|F5NTN3|F5NTN3_SHIFL
OG0001584	sp|P21599|KPYK2_ECOLI		tr|F5NVI7|F5NVI7_SHIFL
OG0001585	sp|P10151|LEUO_ECOLI		tr|F5NPZ9|F5NPZ9_SHIFL
OG0001586	sp|P0AEF4|DPIA_ECOLI		tr|F5NRV3|F5NRV3_SHIFL
OG0001587	sp|P0A6M2|DSBB_ECOLI		tr|F5NTC5|F5NTC5_SHIFL
OG0001588	sp|P0AA86|DSBE_ECOLI		tr|F5NXC8|F5NXC8_SHIFL
OG0001589	sp|P0AEG8|DSRB_ECOLI		tr|F5NW22|F5NW22_SHIFL
OG0001590	sp|P32695|DUSA_ECOLI		tr|F5P0P3|F5P0P3_SHIFL
OG0001591	sp|P0AB01|ELYC_ECOLI		tr|F5NSQ3|F5NSQ3_SHIFL
OG0001592	sp|P75855|ELFA_ECOLI		tr|F5NSS7|F5NSS7_SHIFL
OG0001593	sp|P25736|END1_ECOLI		tr|F5NZY8|F5NZY8_SHIFL
OG0001594	sp|P0A6N8|EFPL_ECOLI		tr|F5NX99|F5NX99_SHIFL
OG0001595	sp|P0AEG4|DSBA_ECOLI		tr|F5P1E9|F5P1E9_SHIFL
OG0001596	sp|P36655|DSBD_ECOLI		tr|F5P0M0|F5P0M0_SHIFL
OG0001597	sp|P31125|EAMA_ECOLI		tr|F5NU90|F5NU90_SHIFL
OG0001598	sp|P06846|EBGR_ECOLI		tr|F5NZK6|F5NZK6_SHIFL
OG0001599	sp|P31545|EFEB_ECOLI	tr|Q8YA00|Q8YA00_LISMO	
OG0001600	sp|P0ABU5|ELBB_ECOLI		tr|F5P0B3|F5P0B3_SHIFL
OG0001601	sp|P0AC73|EBGC_ECOLI		tr|F5NZK8|F5NZK8_SHIFL
OG0001602	sp|P0AEH3|ELAA_ECOLI		tr|F5NXL9|F5NXL9_SHIFL
OG0001603	sp|P0AEH5|ELAB_ECOLI		tr|F5NXL8|F5NXL8_SHIFL
OG0001604	sp|Q47013|ELAD_ECOLI		tr|F5NXM1|F5NXM1_SHIFL
OG0001605	sp|P06968|DUT_ECOLI	tr|Q8Y6J3|Q8Y6J3_LISMO	
OG0001606	sp|P23827|ECOT_ECOLI		tr|F5NXE2|F5NXE2_SHIFL
OG0001607	sp|P0ADF6|EDD_ECOLI		tr|F5NVI3|F5NVI3_SHIFL
OG0001608	sp|P0A9B6|E4PD_ECOLI		tr|F5NZW2|F5NZW2_SHIFL
OG0001609	sp|P38101|EAMB_ECOLI		tr|F5NYH9|F5NYH9_SHIFL
OG0001610	sp|P0ADB7|ECNB_ECOLI		tr|F5P3L6|F5P3L6_SHIFL
OG0001611	sp|P75901|EFEU_ECOLI	tr|Q8YA02|Q8YA02_LISMO	
OG0001612	sp|P0ADB4|ECNA_ECOLI		tr|F5P3L7|F5P3L7_SHIFL
OG0001613	sp|P50465|END8_ECOLI		tr|F5NQV2|F5NQV2_SHIFL
OG0001614	sp|P11454|ENTF_ECOLI	sp|Q8Y8D4|DLTA_LISMO	
OG0001615	sp|P0AEJ4|ENVZ_ECOLI		tr|F5P329|F5P329_SHIFL
OG0001616	sp|P0AB24|EFEO_ECOLI	tr|Q8YA01|Q8YA01_LISMO	
OG0001617	sp|P23895|EMRE_ECOLI		tr|F5NW02|F5NW02_SHIFL
OG0001618	sp|P77802|ECPC_ECOLI		tr|F5NZR7|F5NZR7_SHIFL
OG0001619	sp|P0A8N7|EPMA_ECOLI		tr|F5P3K8|F5P3K8_SHIFL
OG0001620	sp|P39280|EPMB_ECOLI		tr|F5P3L9|F5P3L9_SHIFL
OG0001621	sp|P36547|EUTR_ECOLI		tr|F5NYB0|F5NYB0_SHIFL
OG0001622	sp|P19925|ENTD_ECOLI		tr|F5NRS8|F5NRS8_SHIFL
OG0001623	sp|P76938|EPMC_ECOLI		tr|F5NXS7|F5NXS7_SHIFL
OG0001624	sp|P0CB39|EPTC_ECOLI		tr|F5P106|F5P106_SHIFL
OG0001625	sp|P37690|ENVC_ECOLI		tr|F5P2C9|F5P2C9_SHIFL
OG0001626	sp|P30845|EPTA_ECOLI		tr|F5P3T8|F5P3T8_SHIFL
OG0001627	sp|P37661|EPTB_ECOLI		tr|F5P2L8|F5P2L8_SHIFL
OG0001628	sp|P65643|EUTT_ECOLI	tr|Q8Y7U0|Q8Y7U0_LISMO	
OG0001629	sp|P30855|EVGS_ECOLI		tr|F5NYD8|F5NYD8_SHIFL
OG0001630	sp|P04995|EX1_ECOLI		tr|F5NWK2|F5NWK2_SHIFL
OG0001631	sp|P0A993|F16PA_ECOLI		tr|F5P3V8|F5P3V8_SHIFL
OG0001632	sp|P0AEJ8|EUTN_ECOLI	tr|Q8Y7T7|Q8Y7T7_LISMO	
OG0001633	sp|P0ACC3|ERPA_ECOLI		tr|F5NPM6|F5NPM6_SHIFL
OG0001634	sp|P0C960|EMTA_ECOLI		tr|F5NTD5|F5NTD5_SHIFL
OG0001635	sp|P0ABU7|EXBB_ECOLI		tr|F5NZC5|F5NZC5_SHIFL
OG0001636	sp|P0ACT2|ENVR_ECOLI		tr|F5P0G6|F5P0G6_SHIFL
OG0001637	sp|P0ACL2|EXUR_ECOLI		tr|F5NZR3|F5NZR3_SHIFL
OG0001638	sp|P13036|FECA_ECOLI		tr|F5NR44|F5NR44_SHIFL
OG0001639	sp|P0A8P3|FETP_ECOLI		tr|F5P010|F5P010_SHIFL
OG0001640	sp|P06972|FHUB_ECOLI		tr|F5NPM3|F5NPM3_SHIFL
OG0001641	sp|P07821|FHUC_ECOLI		tr|F5NPM1|F5NPM1_SHIFL
OG0001642	sp|P39405|FHUF_ECOLI		tr|F5P491|F5P491_SHIFL
OG0001643	sp|P23485|FECR_ECOLI		tr|F5NR43|F5NR43_SHIFL
OG0001644	sp|P28861|FENR_ECOLI		tr|F5P144|F5P144_SHIFL
OG0001645	sp|P77445|EUTE_ECOLI	tr|Q8Y7V4|Q8Y7V4_LISMO	
OG0001646	sp|P77277|EUTJ_ECOLI	tr|Q8Y7V8|Q8Y7V8_LISMO	
OG0001647	sp|P76555|EUTQ_ECOLI	tr|Q8Y7T4|Q8Y7T4_LISMO	
OG0001648	sp|P0ABV2|EXBD_ECOLI		tr|F5NZC4|F5NZC4_SHIFL
OG0001649	sp|P21151|FADA_ECOLI		tr|F5P1G0|F5P1G0_SHIFL
OG0001650	sp|P77712|FADM_ECOLI		tr|F5NRF2|F5NRF2_SHIFL
OG0001651	sp|P0A8V6|FADR_ECOLI		tr|F5NTC7|F5NTC7_SHIFL
OG0001652	sp|P0AEL3|FEOA_ECOLI		tr|F5P324|F5P324_SHIFL
OG0001653	sp|P23876|FEPD_ECOLI	tr|Q8Y5U7|Q8Y5U7_LISMO	
OG0001654	sp|P0A6Q3|FABA_ECOLI		tr|F5NST9|F5NST9_SHIFL
OG0001655	sp|P0A953|FABB_ECOLI		tr|F5NXS4|F5NXS4_SHIFL
OG0001656	sp|P76503|FADI_ECOLI		tr|F5NXU6|F5NXU6_SHIFL
OG0001657	sp|P05825|FEPA_ECOLI		tr|F5NRS9|F5NRS9_SHIFL
OG0001658	sp|P26266|FEPE_ECOLI		tr|F5NTX1|F5NTX1_SHIFL
OG0001659	sp|P68646|FIXX_ECOLI		tr|F5NPW2|F5NPW2_SHIFL
OG0001660	sp|P43533|FLGN_ECOLI		tr|F5NT97|F5NT97_SHIFL
OG0001661	sp|P0ACZ4|EVGA_ECOLI		tr|F5NYD7|F5NYD7_SHIFL
OG0001662	sp|P0AA78|EXUT_ECOLI		tr|F5NZM8|F5NZM8_SHIFL
OG0001663	sp|P77399|FADJ_ECOLI		tr|F5NXU5|F5NXU5_SHIFL
OG0001664	sp|P38135|FADK_ECOLI		tr|F5NUT0|F5NUT0_SHIFL
OG0001665	sp|P76552|EUTH_ECOLI	tr|Q8Y7T5|Q8Y7T5_LISMO	
OG0001666	sp|Q47146|FADE_ECOLI		tr|F5NQ78|F5NQ78_SHIFL
OG0001667	sp|P10384|FADL_ECOLI		tr|F5NXU8|F5NXU8_SHIFL
OG0001668	sp|P0AEK7|FDNI_ECOLI		tr|F5NVD4|F5NVD4_SHIFL
OG0001669	sp|P07822|FHUD_ECOLI		tr|F5NPM2|F5NPM2_SHIFL
OG0001670	sp|P20605|FIC_ECOLI		tr|F5P377|F5P377_SHIFL
OG0001671	sp|P75933|FLGA_ECOLI		tr|F5NT99|F5NT99_SHIFL
OG0001672	sp|P0AEM4|FLGM_ECOLI		tr|F5NT98|F5NT98_SHIFL
OG0001673	sp|P13024|FDHE_ECOLI		tr|F5P1C5|F5P1C5_SHIFL
OG0001674	sp|P77279|FETA_ECOLI		tr|F5NRK7|F5NRK7_SHIFL
OG0001675	sp|P08189|FIMF_ECOLI		tr|F5P418|F5P418_SHIFL
OG0001676	sp|P39264|FIMI_ECOLI		tr|F5P422|F5P422_SHIFL
OG0001677	sp|P52614|FLIK_ECOLI		tr|F5NW10|F5NW10_SHIFL
OG0001678	sp|P45543|FRLD_ECOLI		tr|F5P364|F5P364_SHIFL
OG0001679	sp|P45544|FRLR_ECOLI		tr|F5P363|F5P363_SHIFL
OG0001680	sp|P21177|FADB_ECOLI		tr|F5P1F8|F5P1F8_SHIFL
